Time (s),Speed (km/h),Normalized current (A)
712,35.5665024,-0.02048328955506605
713,36.532108799999996,0.18026854881459212
714,37.4977152,0.18533601502263447
715,37.819584,0.10008497199063855
716,36.210240000000006,-0.110866576515538
717,34.7618304,-0.09211970348217263
718,32.991552,-0.11548865011374718
719,28.968192000000002,-0.2807381873316267
720,24.140159999999998,-0.2942267313685561
721,19.312128,-0.24062159183837123
722,14.484096000000001,-0.1866852688812118
723,9.9779328,-0.12439561381951302
724,7.2420480000000005,-0.04817290119846663
725,4.828032,-0.02772046870743387
726,3.3796223999999997,-0.007611260099488281
727,0.804672,-0.007876865736653126
728,0.804672,0.004929057822489524
729,5.1499008,0.05471169675262806
730,10.460736,0.16474831918045238
731,15.449702399999998,0.256058180556191
732,20.1168,0.3297193571731613
733,22.530816,0.2188585830814196
734,25.749504,0.3190195248989423
735,28.968192000000002,0.3618147421813144
736,31.5431424,0.32892917840799324
737,34.600896,0.4188541813574163
738,37.175846400000005,0.39148287274773624
739,39.428928,0.3732032464553547
740,41.038272000000006,0.2974849727523322
741,42.647616,0.30998304441177205
742,43.613222400000005,0.21816213079280816
743,44.4178944,0.19704646147709348
744,44.9006976,0.14758268124777
745,45.5444352,0.1763141514837824
746,46.0272384,0.1517973212914416
747,46.0272384,0.07150171034276162
748,45.5444352,-0.005405362072732005
749,45.38350080000001,0.043671087136769766
750,45.061632,0.01679873135333253
751,44.25696,-0.041760266978154444
752,43.1304192,-0.07646674210239729
753,41.038272000000006,-0.17603366615948998
754,37.819584,-0.276671445509391
755,34.600896,-0.2545914644828626
756,30.577536000000002,-0.29510856177515854
757,26.554176,-0.2589193276103312
758,23.9792256,-0.13732014704486312
759,20.1168,-0.19084974569912583
760,15.127833599999999,-0.20187392512235755
761,9.9779328,-0.14802379697953502
762,4.828032,-0.08582035668716542
763,2.414016,-0.015056335275593847
764,2.414016,0.006853782060004798
765,0.804672,-0.0012289445984978995
766,0.0,0.00348370206708017
767,4.828032,0.046469282266787
768,10.138867200000002,0.1581002703294147
769,15.449702399999998,0.26801575094598185
770,20.760537600000003,0.37852524450615205
771,25.4276352,0.4281962993241375
772,28.163520000000002,0.3067797928827441
773,29.6119296,0.194528768679117
774,31.382208000000002,0.24152095680402325
775,33.3134208,0.2755703092955289
776,35.405568,0.31342979064293897
777,37.3367808,0.3107933397544658
778,40.2336,0.4700501089681451
779,42.647616,0.42954527057987646
780,44.25696,0.32259707895389916
781,45.061632,0.20022837447011488
782,45.5444352,0.15001046836048032
783,46.510041599999994,0.23411868589042834
784,46.510041599999994,0.07248876791458221
785,46.510041599999994,0.07248374480809688
786,46.349107200000006,0.04504886353645551
787,45.86630400000001,-0.005351239850450233
788,45.5444352,0.01719336096953093
789,45.5444352,0.07052455472779362
790,45.5444352,0.07052208527345154
791,45.38350080000001,0.04366758065551106
792,44.4178944,-0.060099452054827376
793,44.25696,0.042106915252345015
794,44.25696,0.06797531056303309
795,44.25696,0.06797438444511099
796,44.25696,0.06797356375088345
797,44.25696,0.0679728384464807
798,44.25696,0.06797219945351886
799,44.4178944,0.09417071205243759
800,45.061632,0.17413938470427814
801,45.86630400000001,0.20406501656849213
802,48.280319999999996,0.4905120151701353
803,49.889664,0.3672110067224117
804,51.499008,0.3802526839672521
805,53.108352,0.39340061666564613
806,53.108352,0.08666357747972507
807,54.073958399999995,0.2771840179157456
808,54.717696000000004,0.21771260992747463
