,Time (s),Speed (km/h),Normalized current (A)
371,371,109.59632640000001,0.17782030179562208
372,372,110.240064,0.23289649048092825
373,373,110.88380160000001,0.23512215658588487
374,374,110.4009984,0.0470842648130493
375,375,111.68847360000001,0.3458146831593142
376,376,111.68847360000001,0.13010922288617338
377,377,111.68847360000001,0.13010489061212938
378,378,112.65408000000001,0.2957225263485156
379,379,113.2978176,0.24358055933158232
380,380,113.6196864,0.18984006450260799
381,381,114.10248960000001,0.21887639896662983
382,382,113.13688320000001,-0.020190571852070162
383,383,113.6196864,0.21725077882606825
384,384,113.13688320000001,0.051878070019770565
385,385,112.1712768,-0.020892066718669566
386,386,112.4931456,0.1863704467149849
387,387,112.8150144,0.18734750618383728
388,388,112.0103424,-0.0023420931479039885
389,389,111.5275392,0.04901478401574643
390,390,112.4931456,0.2950003102529233
391,391,112.1712768,0.07718800830961076
392,392,111.849408,0.07653991667247056
393,393,112.4931456,0.24067867488627545
394,394,112.9759488,0.21511482277589045
395,395,112.9759488,0.13332246913884827
396,396,112.9759488,0.1333216059156293
397,397,114.263424,0.35748114372599693
398,398,113.9415552,0.08082124494201803
399,399,114.10248960000001,0.16374878939985324
400,400,113.7806208,0.08048317632185677
401,401,114.10248960000001,0.19128916520117237
402,402,114.5852928,0.22045847715453368
403,403,114.74622719999999,0.1655768423971461
404,404,113.9415552,-0.0005936214113894976
405,405,114.5852928,0.24813034366621933
406,406,115.3899648,0.278944211588717
407,407,115.7118336,0.19630132428132496
408,408,116.83837439999999,0.34117721647584714
409,409,116.35557119999999,0.05787936442867682
410,410,116.35557119999999,0.1421163777102001
411,411,116.0337024,0.08524702605465592
412,412,115.87276800000001,0.11285552946992848
413,413,115.7118336,0.11246719359475787
414,414,116.83837439999999,0.34113085964580986
415,415,117.1602432,0.2008765118900143
416,416,117.8039808,0.2599174876772818
417,417,116.0337024,-0.11469919879180919
418,418,115.06809600000001,-0.01870754720524162
419,419,114.10248960000001,-0.019457612189118074
420,420,113.2978176,-0.0011866340685629036
421,421,113.458752,0.1618985491875468
422,422,114.10248960000001,0.2463721137822666
423,423,112.9759488,-0.03913680881980759
424,424,114.263424,0.35744717432163137
425,425,112.9759488,-0.05797861462380917
426,426,113.13688320000001,0.16102769853676116
427,427,111.2056704,-0.13288231088319086
428,428,110.7228672,0.04762736063523852
429,429,109.7572608,-0.022553938334305624
430,430,109.9181952,0.1522406835965957
431,431,109.7572608,0.09889767455169049
432,432,108.9525888,-0.0049233237979625895
433,433,108.3088512,0.017498624141629702
434,434,108.63072,0.1750417696852878
435,435,108.7916544,0.1492869673568142
436,436,108.7916544,0.12306543078961957
437,437,108.14791679999999,0.017279633570153923
438,438,107.826048,0.06880492041459382
439,439,106.6995072,-0.042256599697435046
440,440,107.18231039999999,0.19679849898049906
441,441,106.53857280000001,0.015101966682828757
442,442,106.86044160000002,0.1700685496474256
443,443,106.0557696,-0.007164058244380421
444,444,106.37763840000001,0.16872824644736684
445,445,105.41203200000001,-0.025208009984581285
446,446,100.1011968,-0.4819536241093531
447,447,100.1011968,0.10367781503572723
448,448,98.81372160000001,-0.06136713782075885
449,449,98.3309184,0.029015249386752602
450,450,98.81372160000001,0.17239029838744185
451,451,98.3309184,0.02902118122262793
452,452,98.81372160000001,0.17242274101772953
453,453,98.81372160000001,0.1010677937976492
454,454,99.4574592,0.19820224649762935
455,455,99.4574592,0.10241192229507332
456,456,99.4574592,0.10241704671641837
457,457,99.4574592,0.10242176345498931
458,458,100.1011968,0.2002267719067264
459,459,99.4574592,0.006548189481017544
460,460,100.1011968,0.20024020725567207
461,461,100.7449344,0.20224535318605077
462,462,100.1011968,0.007260618402343773
463,463,100.7449344,0.20225242348402342
464,464,100.1011968,0.0072608567284595275
465,465,100.7449344,0.2022588251229388
466,466,100.7449344,0.10514768879988796
467,467,101.388672,0.20427706940679613
468,468,100.7449344,0.007986449404186509
469,469,100.1011968,0.007261197727226052
470,470,98.3309184,-0.11081238635181988
471,471,95.75596800000001,-0.18996885632940752
472,472,94.62942720000001,-0.045745827858643714
473,473,91.4107392,-0.2457500944167233
474,474,89.6404608,-0.10629504188860471
475,475,87.06551040000001,-0.17789488908542486
476,476,82.881216,-0.3122601789118775
477,477,79.1797248,-0.2598582465268189
478,478,78.53598720000001,-0.006361252725570398
479,479,76.6047744,-0.10976547963455723
480,480,72.2595456,-0.2902048254657728
481,481,66.78777600000001,-0.3523155116030623
482,482,59.86759680000001,-0.4156355025196962
